Date,Open,High,Low,Close,Adj Close,Volume
7/8/2016,3.82963,3.88148,3.80741,3.85926,3.688633,12788083
7/11/2016,3.85185,3.87407,3.82222,3.83704,3.667395,10208241
7/12/2016,3.83704,3.86667,3.77037,3.86667,3.695715,14035202
7/13/2016,3.87407,3.92593,3.85926,3.8963,3.724035,20005825
7/14/2016,3.88148,3.91852,3.87407,3.8963,3.724035,9011972
7/15/2016,3.9037,3.91111,3.85926,3.87407,3.702788,11821484
7/18/2016,3.88148,3.88889,3.78519,3.84444,3.674468,12448954
7/19/2016,3.82222,3.88148,3.82222,3.87407,3.702788,8653092
7/20/2016,3.87407,3.88148,3.84444,3.86667,3.695715,7101600
7/21/2016,3.85926,3.96296,3.85926,3.92593,3.752355,19277416
7/22/2016,3.91852,3.93333,3.85926,3.86667,3.695715,9541442
7/25/2016,3.85926,3.8963,3.85185,3.88889,3.716953,7282628
7/26/2016,3.91852,3.96296,3.9037,3.95556,3.780675,15235248
7/27/2016,3.96296,3.97037,3.74074,3.8,3.631993,17228891
7/28/2016,3.85185,4.17037,3.81481,4.14074,3.957668,63693920
7/29/2016,4.07407,4.17778,4,4.03704,3.858553,47502086
8/1/2016,4.01481,4.03704,3.93333,4.00741,3.830232,22017433
8/2/2016,3.97037,4.1037,3.94815,4.0963,3.915193,23751949
8/3/2016,4.05185,4.1037,3.99259,4.06667,3.886873,24198440
8/4/2016,4.03704,4.05926,3.98519,4.02222,3.844388,22486518
8/5/2016,4.02963,4.05185,3.93333,3.95556,3.780675,26142530
8/8/2016,3.92593,3.97778,3.8963,3.97778,3.801913,14294810
8/9/2016,3.97037,4.01481,3.95556,3.99259,3.816068,15589299
8/10/2016,3.99259,4.00741,3.95556,3.97037,3.79483,14390395
8/11/2016,3.99259,4.1037,3.97778,3.99259,3.816068,24808455
8/12/2016,3.98519,4.06667,3.93333,4.05926,3.87979,22351111
8/15/2016,4.04444,4.16296,4.04444,4.14074,3.957668,34415175
8/16/2016,4.12593,4.17037,4.1037,4.11852,3.93643,19908418
8/17/2016,4.11852,4.15556,4.1037,4.14815,3.96475,17712359
8/18/2016,4.40741,4.56296,4.31111,4.35556,4.16299,77650129
8/19/2016,4.31852,4.6963,4.28148,4.6,4.396623,84598900
8/22/2016,4.52593,4.54815,4.42963,4.45185,4.255023,47777196
8/23/2016,4.42963,4.47407,4.38519,4.4,4.205465,26417660
8/24/2016,4.40741,4.42963,4.33333,4.35556,4.16299,20298950
8/25/2016,4.32593,4.4963,4.32593,4.48889,4.290425,30472799
8/26/2016,4.45926,4.5037,4.40741,4.42222,4.226703,21829211
8/29/2016,4.42222,4.47407,4.39259,4.46667,4.269187,12946506
8/30/2016,4.48889,4.61481,4.45926,4.4963,4.297508,35310572
8/31/2016,4.51852,4.58519,4.45185,4.46667,4.269187,24913831
